Group,Metric,Budget,Actual,% to Goal,Match
Ticket Revenue,FSE,5700.0,5668.0,0.994385965,FIR0304
Ticket Revenue,Group,7960.0,4393.0,0.551884422,FIR0304
Ticket Revenue,Single,1888.0,4103.0,2.173199153,FIR0304
Ticket Revenue,Total Paid,15548.0,14164.0,0.910985336,FIR0304
Ticket Revenue,Comp,3000.0,3169.0,1.056333333,FIR0304
Ticket Revenue,Total Distributed,18548.0,17333.0,0.934494285,FIR0304
Ticket Revenue,Drop Count,13993.0,12515.0,0.894362976,FIR0304
Ticket Revenue,Show Rate,0.75,0.72,0.957055587,FIR0304
Ticket Revenue,ATP,30.69,28.29,0.92193824,FIR0304
Ticket Revenue,Gross Ticket Revenue,477138.0,400734.95,0.839872217,FIR0304
Ticket Revenue,Amusement Taxes,-51122.0,-42936.0,0.839872217,FIR0304
Ticket Revenue,Park District Fee,-27986.0,-25030.0,0.894362976,FIR0304
Ticket Revenue,MLS Share of Revenue,-39803.0,-33277.0,0.836040844,FIR0304
Ticket Revenue,Net Ticket Revenue,358227.0,299492.0,0.836040844,FIR0304
Premium,Units Sold,282.0,167.0,0.592198582,FIR0304
Premium,Average Per Unit,276.0,259.0,0.941578969,FIR0304
Premium,Revenue Generated,77706.0,43329.0,0.55760173,FIR0304
Premium,Less Projected Expenses,-45847.0,-25564.11,0.55760173,FIR0304
Premium,Net Premium Revenue,31859.0,17765.0,0.55760173,FIR0304
Gross Per Cap,Merchandise Revenue,66467.0,62355.0,0.938138242,FIR0304
Gross Per Cap,Concessions Revenue,275102.0,254894.0,0.926542329,FIR0304
Gross Per Cap,Parking Revenue,151824.0,126136.0,0.830801971,FIR0304
Gross Per Cap,Total Gross Per Cap Revenue,493393.0,443385.0,0.898643796,FIR0304
Gross Per Cap,Merchandise Per Cap,4.74993211,4.982421095,1.048945749,FIR0304
Gross Per Cap,Concessions Per Cap,19.65971901,20.3670795,1.035980194,FIR0304
Gross Per Cap,Parking Per Cap,10.84984492,10.07876308,0.928931534,FIR0304
Gross Per Cap,Gross Per Cap,35.25949604,35.42826368,1.004786445,FIR0304
Net Per Cap,Merchandise Revenue,25789.0,23466.0,0.909900342,FIR0304
Net Per Cap,Concessions Revenue,64709.0,56314.0,0.87027123,FIR0304
Net Per Cap,Parking Revenue,67571.0,55444.0,0.820538843,FIR0304
Net Per Cap,Total Net Per Cap Revenue,158068.0,135224.0,0.855477337,FIR0304
Net Per Cap,Merchandise Per Cap,1.842973659,1.874990811,1.01737255,FIR0304
Net Per Cap,Concessions Per Cap,4.624289298,4.499723311,0.973062674,FIR0304
Net Per Cap,Parking Per Cap,4.828811699,4.430223152,0.917456184,FIR0304
Net Per Cap,Net Per Cap,11.29607466,10.80493727,0.956521412,FIR0304
Total,Total Net Matchday Revenue,548154.0,452481.0,0.825462387,FIR0304
Ticket Revenue,FSE,4700.0,4217.0,0.897234043,FIR0318
Ticket Revenue,Group,1147.0,373.0,0.325196164,FIR0318
Ticket Revenue,Single,1145.0,773.0,0.67510917,FIR0318
Ticket Revenue,Total Paid,6992.0,5363.0,0.767019451,FIR0318
Ticket Revenue,Comp,3000.0,1407.0,0.469,FIR0318
Ticket Revenue,Total Distributed,9992.0,6770.0,0.677542034,FIR0318
Ticket Revenue,Drop Count,6293.0,3477.0,0.552536232,FIR0318
Ticket Revenue,Show Rate,0.63,0.51,0.815501038,FIR0318
Ticket Revenue,ATP,33.35,32.47,0.973660955,FIR0318
Ticket Revenue,Gross Ticket Revenue,233162.0,174129.32,0.746816891,FIR0318
Ticket Revenue,Amusement Taxes,-24982.0,-18657.0,0.746816891,FIR0318
Ticket Revenue,Park District Fee,-12586.0,-6954.0,0.552536232,FIR0318
Ticket Revenue,MLS Share of Revenue,-19559.0,-14852.0,0.759317935,FIR0318
Ticket Revenue,Net Ticket Revenue,176035.0,133667.0,0.759317935,FIR0318
Premium,Units Sold,282.0,132.0,0.468085106,FIR0318
Premium,Average Per Unit,276.0,232.0,0.842245129,FIR0318
Premium,Revenue Generated,77706.0,30635.0,0.394242401,FIR0318
Premium,Less Projected Expenses,-45847.0,-18074.65,0.394242401,FIR0318
Premium,Net Premium Revenue,31859.0,12560.0,0.394242401,FIR0318
Gross Per Cap,Merchandise Revenue,29892.0,25691.0,0.859467913,FIR0318
Gross Per Cap,Concessions Revenue,123720.0,87797.0,0.709640562,FIR0318
Gross Per Cap,Parking Revenue,72621.0,67163.0,0.924839875,FIR0318
Gross Per Cap,Total Gross Per Cap Revenue,226233.0,180651.0,0.798516222,FIR0318
Gross Per Cap,Merchandise Per Cap,4.750150966,7.388840955,1.555496027,FIR0318
Gross Per Cap,Concessions Per Cap,19.66062484,25.25079091,1.284333083,FIR0318
Gross Per Cap,Parking Per Cap,11.54036677,19.31636468,1.67380856,FIR0318
Gross Per Cap,Gross Per Cap,35.95114258,51.95599655,1.445183458,FIR0318
Net Per Cap,Merchandise Revenue,10966.0,10703.0,0.976009869,FIR0318
Net Per Cap,Concessions Revenue,29451.0,19148.0,0.650172964,FIR0318
Net Per Cap,Parking Revenue,31065.0,28064.0,0.903385352,FIR0318
Net Per Cap,Total Net Per Cap Revenue,71483.0,57916.0,0.810202316,FIR0318
Net Per Cap,Merchandise Per Cap,1.742676279,3.078294507,1.766417862,FIR0318
Net Per Cap,Concessions Per Cap,4.680148741,5.507161346,1.176706479,FIR0318
Net Per Cap,Parking Per Cap,4.936652613,8.07132528,1.634979391,FIR0318
Net Per Cap,Net Per Cap,11.35947763,16.65678113,1.466333371,FIR0318
Total,Total Net Matchday Revenue,279378.0,204143.0,0.73070525,FIR0318
Ticket Revenue,FSE,4700.0,4331.0,0.921489362,FIR0401
Ticket Revenue,Group,1291.0,859.0,0.665375678,FIR0401
Ticket Revenue,Single,1095.0,1051.0,0.959817352,FIR0401
Ticket Revenue,Total Paid,7086.0,6241.0,0.880750776,FIR0401
Ticket Revenue,Comp,3000.0,1382.0,0.460666667,FIR0401
Ticket Revenue,Total Distributed,10086.0,7623.0,0.755800119,FIR0401
Ticket Revenue,Drop Count,6377.0,4940.0,0.774610343,FIR0401
Ticket Revenue,Show Rate,0.63,0.65,1.024887829,FIR0401
Ticket Revenue,ATP,33.09,32.14,0.971241019,FIR0401
Ticket Revenue,Gross Ticket Revenue,234487.0,200585.17,0.855421281,FIR0401
Ticket Revenue,Amusement Taxes,-25124.0,-21491.0,0.855421281,FIR0401
Ticket Revenue,Park District Fee,-12755.0,-9880.0,0.774610343,FIR0401
Ticket Revenue,MLS Share of Revenue,-19661.0,-16921.0,0.860663816,FIR0401
Ticket Revenue,Net Ticket Revenue,176948.0,152293.0,0.860663816,FIR0401
Premium,Units Sold,282.0,121.0,0.429078014,FIR0401
Premium,Average Per Unit,276.0,257.0,0.93356906,FIR0401
Premium,Revenue Generated,77706.0,31127.0,0.400573958,FIR0401
Premium,Less Projected Expenses,-45847.0,-18364.93,0.400573958,FIR0401
Premium,Net Premium Revenue,31859.0,12762.0,0.400573958,FIR0401
Gross Per Cap,Merchandise Revenue,30291.0,32181.0,1.062403539,FIR0401
Gross Per Cap,Concessions Revenue,161024.0,111305.0,0.691231102,FIR0401
Gross Per Cap,Parking Revenue,73591.0,90555.0,1.230529777,FIR0401
Gross Per Cap,Total Gross Per Cap Revenue,264906.0,234041.0,0.883489738,FIR0401
Gross Per Cap,Merchandise Per Cap,4.749702073,6.51437247,1.37153286,FIR0401
Gross Per Cap,Concessions Per Cap,25.24920714,22.53137652,0.892359764,FIR0401
Gross Per Cap,Parking Per Cap,11.53927619,18.33105263,1.588579069,FIR0401
Gross Per Cap,Gross Per Cap,41.53818541,47.37680162,1.140560213,FIR0401
Net Per Cap,Merchandise Revenue,12213.0,13557.0,1.110030992,FIR0401
Net Per Cap,Concessions Revenue,29844.0,23960.0,0.802845161,FIR0401
Net Per Cap,Parking Revenue,31548.0,39663.0,1.257218941,FIR0401
Net Per Cap,Total Net Per Cap Revenue,73606.0,77180.0,1.048564738,FIR0401
Net Per Cap,Merchandise Per Cap,1.915070798,2.744331984,1.433018553,FIR0401
Net Per Cap,Concessions Per Cap,4.679706463,4.850283401,1.03645035,FIR0401
Net Per Cap,Parking Per Cap,4.946860608,8.028923077,1.623034024,FIR0401
Net Per Cap,Net Per Cap,11.54163787,15.62353846,1.35366736,FIR0401
Total,Total Net Matchday Revenue,282413.0,242235.0,0.857733189,FIR0401
Ticket Revenue,FSE,4700.0,4542.0,0.966382979,FIR0408
Ticket Revenue,Group,2223.0,1242.0,0.558704453,FIR0408
Ticket Revenue,Single,1145.0,1496.0,1.306550218,FIR0408
Ticket Revenue,Total Paid,8068.0,7280.0,0.902330193,FIR0408
Ticket Revenue,Comp,3000.0,2736.0,0.912,FIR0408
Ticket Revenue,Total Distributed,11068.0,10016.0,0.904951211,FIR0408
Ticket Revenue,Drop Count,7261.0,7826.0,1.077783287,FIR0408
Ticket Revenue,Show Rate,0.66,0.78,1.190984966,FIR0408
Ticket Revenue,ATP,32.48,32.29,0.994164972,FIR0408
Ticket Revenue,Gross Ticket Revenue,262020.0,235048.99,0.897065071,FIR0408
Ticket Revenue,Amusement Taxes,-28074.0,-25184.0,0.897065071,FIR0408
Ticket Revenue,Park District Fee,-14522.0,-15652.0,1.077783287,FIR0408
Ticket Revenue,MLS Share of Revenue,-21942.0,-19421.0,0.885104384,FIR0408
Ticket Revenue,Net Ticket Revenue,197482.0,174792.0,0.885104384,FIR0408
Premium,Units Sold,282.0,124.0,0.439716312,FIR0408
Premium,Average Per Unit,276.0,245.0,0.888535198,FIR0408
Premium,Revenue Generated,77706.0,30360.0,0.390703421,FIR0408
Premium,Less Projected Expenses,-45847.0,-17912.4,0.390703421,FIR0408
Premium,Net Premium Revenue,31859.0,12448.0,0.390703421,FIR0408
Gross Per Cap,Merchandise Revenue,34490.0,49415.0,1.432744511,FIR0408
Gross Per Cap,Concessions Revenue,183346.0,166813.0,0.909826266,FIR0408
Gross Per Cap,Parking Revenue,82412.0,87801.0,1.065382555,FIR0408
Gross Per Cap,Total Gross Per Cap Revenue,300248.0,304029.0,1.012591544,FIR0408
Gross Per Cap,Merchandise Per Cap,4.749869168,6.314209047,1.329343783,FIR0408
Gross Per Cap,Concessions Per Cap,25.25009541,21.31523128,0.844164386,FIR0408
Gross Per Cap,Parking Per Cap,11.34968738,11.21910043,0.988494225,FIR0408
Gross Per Cap,Gross Per Cap,41.34965196,38.84854076,0.939513126,FIR0408
Net Per Cap,Merchandise Revenue,14068.0,19741.0,1.403201924,FIR0408
Net Per Cap,Concessions Revenue,33981.0,36401.0,1.071212908,FIR0408
Net Per Cap,Parking Revenue,35941.0,38031.0,1.058140879,FIR0408
Net Per Cap,Total Net Per Cap Revenue,83991.0,94173.0,1.121226676,FIR0408
Net Per Cap,Merchandise Per Cap,1.93747102,2.52245799,1.301933275,FIR0408
Net Per Cap,Concessions Per Cap,4.679871096,4.651341682,0.993903803,FIR0408
Net Per Cap,Parking Per Cap,4.949781069,4.859572195,0.981775179,FIR0408
Net Per Cap,Net Per Cap,11.56712318,12.03337187,1.040308093,FIR0408
Total,Total Net Matchday Revenue,313332.0,281413.0,0.898128403,FIR0408
Ticket Revenue,FSE,5700.0,5560.0,0.975438596,FIR0415
Ticket Revenue,Group,2223.0,1204.0,0.541610436,FIR0415
Ticket Revenue,Single,1145.0,1495.0,1.305676856,FIR0415
