Match,Ticket Revenue_FSE_Budget,Ticket Revenue_FSE_Actual,Ticket Revenue_Group_Budget,Ticket Revenue_Group_Actual,Ticket Revenue_Single_Budget,Ticket Revenue_Single_Actual,Ticket Revenue_Total Paid_Budget,Ticket Revenue_Total Paid_Actual,Ticket Revenue_Comp_Budget,Ticket Revenue_Comp_Actual,Ticket Revenue_Total Distributed_Budget,Ticket Revenue_Total Distributed_Actual,Ticket Revenue_Drop Count_Budget,Ticket Revenue_Drop Count_Actual,Ticket Revenue_Show Rate_Budget,Ticket Revenue_Show Rate_Actual,Ticket Revenue_ATP_Budget,Ticket Revenue_ATP_Actual,Ticket Revenue_Gross Ticket Revenue_Budget,Ticket Revenue_Gross Ticket Revenue_Actual,Ticket Revenue_Amusement Taxes_Budget,Ticket Revenue_Amusement Taxes_Actual,Ticket Revenue_Park District Fee_Budget,Ticket Revenue_Park District Fee_Actual,Ticket Revenue_MLS Share of Revenue_Budget,Ticket Revenue_MLS Share of Revenue_Actual,Ticket Revenue_Net Ticket Revenue_Budget,Ticket Revenue_Net Ticket Revenue_Actual,Premium_Units Sold_Budget,Premium_Units Sold_Actual,Premium_Average Per Unit_Budget,Premium_Average Per Unit_Actual,Premium_Revenue Generated_Budget,Premium_Revenue Generated_Actual,Premium_Less Projected Expenses_Budget,Premium_Less Projected Expenses_Actual,Premium_Net Premium Revenue_Budget,Premium_Net Premium Revenue_Actual,Gross Per Cap_Merchandise Revenue_Budget,Gross Per Cap_Merchandise Revenue_Actual,Gross Per Cap_Concessions Revenue_Budget,Gross Per Cap_Concessions Revenue_Actual,Gross Per Cap_Parking Revenue_Budget,Gross Per Cap_Parking Revenue_Actual,Gross Per Cap_Total Gross Per Cap Revenue_Budget,Gross Per Cap_Total Gross Per Cap Revenue_Actual,Gross Per Cap_Merchandise Per Cap_Budget,Gross Per Cap_Merchandise Per Cap_Actual,Gross Per Cap_Concessions Per Cap_Budget,Gross Per Cap_Concessions Per Cap_Actual,Gross Per Cap_Parking Per Cap_Budget,Gross Per Cap_Parking Per Cap_Actual,Gross Per Cap_Gross Per Cap_Budget,Gross Per Cap_Gross Per Cap_Actual,Net Per Cap_Merchandise Revenue_Budget,Net Per Cap_Merchandise Revenue_Actual,Net Per Cap_Concessions Revenue_Budget,Net Per Cap_Concessions Revenue_Actual,Net Per Cap_Parking Revenue_Budget,Net Per Cap_Parking Revenue_Actual,Net Per Cap_Merchandise Per Cap_Budget,Net Per Cap_Merchandise Per Cap_Actual,Net Per Cap_Concessions Per Cap_Budget,Net Per Cap_Concessions Per Cap_Actual,Net Per Cap_Parking Per Cap_Budget,Net Per Cap_Parking Per Cap_Actual,Net Per Cap_Total Net Per Cap Revenue_Budget,Net Per Cap_Total Net Per Cap Revenue_Actual,Net Per Cap_Net Per Cap_Budget,Net Per Cap_Net Per Cap_Actual,Total_Total Net Matchday Revenue_Budget,Total_Total Net Matchday Revenue_Actual
FIR0304,5700.0,5668.0,7960.0,4393.0,1888.0,4103.0,15548.0,14164.0,3000.0,3169.0,18548.0,17333.0,13993.0,12515.0,0.75,0.72,30.69,28.29,477138.0,400734.95,-51122.0,-42936.0,-27986.0,-25030.0,-39803.0,-33277.0,358227.0,299492.0,282.0,167.0,276.0,259.0,77706.0,43329.0,-45847.0,-25564.11,31859.0,17765.0,66467.0,62355.0,275102.0,254894.0,151824.0,126136.0,493393.0,443385.0,4.74993211,4.982421095,19.65971901,20.3670795,10.84984492,10.07876308,35.25949604,35.42826368,25789.0,23466.0,64709.0,56314.0,67571.0,55444.0,1.842973659,1.874990811,4.624289298,4.499723311,4.828811699,4.430223152,158068.0,135224.0,11.29607466,10.80493727,548154.0,452481.0
FIR0318,4700.0,4217.0,1147.0,373.0,1145.0,773.0,6992.0,5363.0,3000.0,1407.0,9992.0,6770.0,6293.0,3477.0,0.63,0.51,33.35,32.47,233162.0,174129.32,-24982.0,-18657.0,-12586.0,-6954.0,-19559.0,-14852.0,176035.0,133667.0,282.0,132.0,276.0,232.0,77706.0,30635.0,-45847.0,-18074.65,31859.0,12560.0,29892.0,25691.0,123720.0,87797.0,72621.0,67163.0,226233.0,180651.0,4.750150966,7.388840955,19.66062484,25.25079091,11.54036677,19.31636468,35.95114258,51.95599655,10966.0,10703.0,29451.0,19148.0,31065.0,28064.0,1.742676279,3.078294507,4.680148741,5.507161346,4.936652613,8.07132528,71483.0,57916.0,11.35947763,16.65678113,279378.0,204143.0
FIR0401,4700.0,4331.0,1291.0,859.0,1095.0,1051.0,7086.0,6241.0,3000.0,1382.0,10086.0,7623.0,6377.0,4940.0,0.63,0.65,33.09,32.14,234487.0,200585.17,-25124.0,-21491.0,-12755.0,-9880.0,-19661.0,-16921.0,176948.0,152293.0,282.0,121.0,276.0,257.0,77706.0,31127.0,-45847.0,-18364.93,31859.0,12762.0,30291.0,32181.0,161024.0,111305.0,73591.0,90555.0,264906.0,234041.0,4.749702073,6.51437247,25.24920714,22.53137652,11.53927619,18.33105263,41.53818541,47.37680162,12213.0,13557.0,29844.0,23960.0,31548.0,39663.0,1.915070798,2.744331984,4.679706463,4.850283401,4.946860608,8.028923077,73606.0,77180.0,11.54163787,15.62353846,282413.0,242235.0
FIR0408,4700.0,4542.0,2223.0,1242.0,1145.0,1496.0,8068.0,7280.0,3000.0,2736.0,11068.0,10016.0,7261.0,7826.0,0.66,0.78,32.48,32.29,262020.0,235048.99,-28074.0,-25184.0,-14522.0,-15652.0,-21942.0,-19421.0,197482.0,174792.0,282.0,124.0,276.0,245.0,77706.0,30360.0,-45847.0,-17912.4,31859.0,12448.0,34490.0,49415.0,183346.0,166813.0,82412.0,87801.0,300248.0,304029.0,4.749869168,6.314209047,25.25009541,21.31523128,11.34968738,11.21910043,41.34965196,38.84854076,14068.0,19741.0,33981.0,36401.0,35941.0,38031.0,1.93747102,2.52245799,4.679871096,4.651341682,4.949781069,4.859572195,83991.0,94173.0,11.56712318,12.03337187,313332.0,281413.0
FIR0415,5700.0,5560.0,2223.0,1204.0,1145.0,1495.0,9068.0,8259.0,3000.0,2449.0,12068.0,10708.0,8161.0,8202.0,0.68,0.77,31.48,30.66,285421.0,253234.9,-30581.0,-27132.0,-16322.0,-16404.0,-23852.0,-20970.0,214666.0,188729.0,282.0,143.0,276.0,255.0,77706.0,36501.0,-45847.0,-21535.59,31859.0,14965.0,38765.0,41472.0,206072.0,193467.0,91403.0,83715.0,336240.0,318654.0,4.749883596,5.056327725,25.25017211,23.58778347,11.19972553,10.20665691,41.19978124,38.85076811,14961.0,16373.0,38193.0,42956.0,40419.0,35878.0,1.833160161,1.99617386,4.679885311,5.237307974,4.952555212,4.374323336,93573.0,95207.0,11.46560068,11.60780517,340099.0,298901.0
FIR0429,6700.0,6498.0,3227.0,1159.0,1244.0,1181.0,11171.0,8838.0,3000.0,1456.0,14171.0,10294.0,10054.0,6260.0,0.71,0.61,30.51,29.04,340797.0,256673.35,-36514.0,-27501.0,-20108.0,-12520.0,-28418.0,-21665.0,255758.0,194987.0,282.0,187.0,276.0,280.0,77706.0,52418.0,-45847.0,-30926.62,31859.0,21491.0,47757.0,40258.0,253871.0,151376.0,114616.0,80722.0,416244.0,272356.0,4.750047245,6.431033546,25.25104207,24.18146965,11.40011339,12.89481789,41.4012027,43.50732109,17199.0,12930.0,47042.0,32515.0,49813.0,34585.0,1.710641555,2.065488818,4.678999194,5.194121406,4.954574354,5.524702236,114054.0,80030.0,11.3442151,12.78431246,401671.0,296509.0
FIR0513,5700.0,6363.0,7602.0,2624.0,2136.0,5240.0,15438.0,14227.0,3000.0,1628.0,18438.0,15855.0,13894.0,12593.0,0.75,0.79,31.1,31.38,480116.0,446510.77,-51441.0,-47840.0,-27788.0,-25186.0,-40089.0,-37348.0,360798.0,336136.0,282.0,279.0,276.0,246.0,77706.0,68582.75,-45847.0,-40463.8225,31859.0,28119.0,65997.0,59629.0,350834.0,307661.0,154223.0,114151.0,571054.0,481440.0,4.749931626,4.735067101,25.25042744,24.43111252,11.09984022,9.064604145,41.10019929,38.23078377,20238.0,20046.0,65088.0,68423.0,68716.0,48354.0,1.456592544,1.591838323,4.684580257,5.433453548,4.945633261,3.83971512,154042.0,136823.0,11.08680606,10.86500699,546700.0,501078.0
FIR0520,6700.0,6924.0,3084.0,3308.0,1244.0,2480.0,11028.0,12712.0,3000.0,2695.0,14028.0,15407.0,9925.0,12498.0,0.71,0.81,30.55,31.03,336950.0,394453.65,-36102.0,-42263.0,-19850.0,-24996.0,-28100.0,-32719.0,252898.0,294475.0,282.0,214.0,276.0,255.0,77706.0,54589.0,-45847.0,-32207.51,31859.0,22381.0,47144.0,49781.0,250614.0,285418.0,108977.0,109505.0,406734.0,444703.0,4.749904284,3.983098896,25.25028209,22.83709394,10.97977875,8.761769883,40.97996512,35.58196271,15182.0,16962.0,46449.0,62987.0,49170.0,46020.0,1.529608843,1.357209954,4.679905695,5.039769468,4.954086265,3.682149464,110801.0,125969.0,11.1636008,10.07912889,395558.0,442826.0
FIR0610,8075.0,8401.0,7243.0,3136.0,1207.0,2817.0,16525.0,14354.0,3000.0,2059.0,19525.0,16413.0,14873.0,11905.0,0.76,0.73,28.98,29.73,478817.0,426710.89,-51302.0,-45719.0,-29745.0,-23810.0,-39777.0,-35718.0,357993.0,321464.0,282.0,409.0,276.0,208.0,77706.0,84978.5,-45847.0,-50137.315,31859.0,34841.0,70647.0,62029.0,375555.0,276541.0,164495.0,151293.0,610697.0,489863.0,4.750159691,5.210341033,25.25163982,23.22897942,11.06037183,12.70835783,41.06217134,41.14767829,23112.0,12712.0,69536.0,59390.0,73618.0,66498.0,1.554005607,1.067764805,4.675448143,4.988674183,4.949935795,5.585686686,166265.0,138600.0,11.17938954,11.64212567,556118.0,494904.0
FIR0708,7700.0,8162.0,7243.0,3992.0,1393.0,6174.0,16336.0,18328.0,3000.0,1819.0,19336.0,20147.0,14702.0,14521.0,0.76,0.72,29.35,29.19,479498.0,534910.92,-51375.0,-57312.0,-29405.0,-29042.0,-39872.0,-44856.0,358847.0,403701.0,282.0,313.0,276.0,240.0,77706.0,75081.0,-45847.0,-44297.79,31859.0,30783.0,69835.0,78572.0,371237.0,300539.0,162604.0,152235.0,603676.0,531346.0,4.749870769,5.410926245,25.25010393,20.69685283,11.0596991,10.48378211,41.05967379,36.59156119,13314.0,19927.0,68759.0,65436.0,72715.0,66650.0,0.905561671,1.372314579,4.676708225,4.506326279,4.945812675,4.589902555,154788.0,152014.0,10.52808257,10.46854341,545494.0,586498.0
