,SEASONYEAR,RENEWED_NEXT_YEAR,MLS_TENURE,ORDER_QUANTITY_M,ORDER_QUANTITY_M_LAST_YEAR,ORDER_QUANTITY_M_ALL_TIME,ORDER_SPEND_M,ORDER_SPEND_M_LAST_YEAR,ORDER_SPEND_M_ALL_TIME,TICKET_QUANTITY_T,TICKET_QUANTITY_LAST_YEAR,TICKET_QUANTITY_ALL_TIME,COUNT_OF_MLS_EVENTS,COUNT_OF_MLS_EVENTS_LAST_YEAR,COUNT_OF_MLS_EVENTS_ALL_TIME,TICKET_SPEND_T,TICKET_SPEND_T_LAST_YEAR,TICKET_SPEND_T_ALL_TIME,SINGLE_GAME_FLAG,PREV_SINGLE_GAME_FLAG,COMP_FLAG,PREV_COMP_FLAG,GROUP_FLAG,PREV_GROUP_FLAG,FULL_SEASON_FLAG,PREV_FULL_SEASON_FLAG,PARTIAL_SEASON_FLAG,PREV_PARTIAL_SEASON_FLAG,PREV_YR_EVENTS_ATTENDED,DISTANCE_TO_STADIUM_C,COUNT_SINGLE_ADVANCE,COUNT_COMPLIMENTARY,TASK_COUNT_EMAIL,TASK_COUNT_LISTEMAIL,TASK_COUNT_CALL,TASK_COUNT_TASK,TASK_COUNT_CADENCE
SEASONYEAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RENEWED_NEXT_YEAR,,1.0,0.1738529650021269,0.12813301859438866,0.06372665842041761,0.11809903977081407,0.08776671006622278,0.03766931807464535,0.07589710525298358,0.022147727254733948,0.029576712483592157,0.024783303166583826,0.08245202513038702,0.2457238563641494,0.20864029325234196,0.02897477289572214,0.05656475781048663,0.06257391956503792,0.18034623189015217,0.15493207219798297,0.02251761006047562,0.09970965810881789,0.07028303368951862,0.023987909579290204,,0.18385481049709196,-0.017213171953843406,0.011741623434698926,0.37470132497675684,-0.008588765112713672,0.1472887276027113,-0.02216148006024778,0.2251716451058592,,-0.29695464364008606,-0.14270966438709587,0.022074637808628526
MLS_TENURE,,0.1738529650021269,1.0,0.038791351668020356,0.01675880567202944,0.09723825020658157,0.043235735960934635,0.0020433824889107203,0.08214334680883058,0.0272864280830896,0.036939608844302335,0.04505056670104734,0.08360815684615729,0.3283541912704466,0.6576200620762167,-0.00726357431138136,0.05044811158586343,0.15219641208972898,0.039581284231488004,0.3410516883347122,0.029253175620751533,0.17840564031390305,0.0037467727330665946,0.006016065873984591,,0.21796537226815907,-0.008615781655663787,-0.10504456031010216,0.10696677472955006,-0.010607548643668896,0.01877932018703935,0.004968901029664514,0.020638225683754764,,-0.04776115921281017,-0.03887235659959241,-0.01136489522733561
ORDER_QUANTITY_M,,0.12813301859438866,0.038791351668020356,1.0,0.3054794150252385,0.6362049379035611,0.8934463877527139,0.256357909494576,0.571675056452458,0.012162555667333527,0.01996430808126915,0.005380386951325181,0.04835174680071438,0.04328538747779631,0.02872915359603048,0.015320149829611142,-0.0128942177629799,-0.002735196417891015,0.07741227451105234,-0.011598215126809905,0.0056829217267840015,0.019916062931480804,0.049771152072727795,0.015953559123925435,,0.010345297745180473,0.09899885560980061,0.03638682350122698,0.11893272459449876,0.0021395751984619633,0.0322406208542774,0.00013860212350472767,0.044432456066649605,,-0.0422299304960169,-0.044399864787253523,-0.012291048803769083
ORDER_QUANTITY_M_LAST_YEAR,,0.06372665842041761,0.01675880567202944,0.3054794150252385,1.0,0.7328762119010377,0.2252820997208209,0.9115244557774538,0.4258919958053207,-0.005676089462577694,-0.002000329586934447,-0.005700695989494413,0.05648773534445206,0.14909622773363895,0.030167140350065284,-0.02252206364675655,0.008312276135671,-0.0154868546698645,0.09426101124313671,0.08838035269604241,-0.02598966603236863,0.055938392798118707,0.018069145252256596,0.06844837628594139,,0.1119485890964643,0.03553790191938167,0.015543064829420788,0.10839801314138672,-0.0262453548053896,0.10012289650071432,-0.01634861044392571,0.0015760720970918476,,-0.030104215702039097,-0.015367142252151845,-0.016038093686412177
ORDER_QUANTITY_M_ALL_TIME,,0.11809903977081407,0.09723825020658157,0.6362049379035611,0.7328762119010377,1.0,0.5862955748468665,0.6945314252077739,0.7702457728374109,0.013268877914153508,0.02598243155509615,0.007616852349009337,0.07517167419091841,0.17222705467699861,0.12811988502121804,-0.004996850009786962,-0.0018824210795253336,0.0030841536807422027,0.0825095672280733,0.11906990735993249,-0.014158021184292513,0.07234070511556154,0.05089043072589106,0.03206396219543186,,0.12162726793534122,0.07949804016840258,-0.008645758293606542,0.1267190542883376,-0.01093239692327734,0.06032923137324609,-0.017602169367322965,0.004892762745112517,,-0.04938431919697209,-0.03582311447535731,-0.022811556615009304
ORDER_SPEND_M,,0.08776671006622278,0.043235735960934635,0.8934463877527139,0.2252820997208209,0.5862955748468665,1.0,0.22086551146350486,0.6322891108663302,0.009790657028366062,0.01549384036196664,0.005213726973703984,0.03865829971650745,0.027556876658390895,0.0353522328845227,0.01944559260196574,-0.0058998891674663,0.009478431646385692,0.05502623755740254,-0.01621631006359399,0.00246288510824038,0.020106567656587086,0.046774027096947286,-0.0018120505337364417,,0.0038658618020201603,0.12173745850291007,0.01750649661023714,0.06072445672787926,-0.002154356813998801,0.022717137270820663,-0.006864702536599366,0.026370492498741606,,-0.03881327777887297,-0.020956340808898417,-0.009362297045003519
ORDER_SPEND_M_LAST_YEAR,,0.03766931807464535,0.0020433824889107203,0.256357909494576,0.9115244557774538,0.6945314252077739,0.22086551146350486,1.0,0.46125915667935513,-0.003245554345236075,-0.0003863385931735877,-0.0033776089559373326,0.04524551356700468,0.11009348785810283,0.022245766823207117,-0.008962046050807972,0.010263379565505352,-0.008641111318712253,0.0719893466007586,0.0632443718216264,-0.020705100531672477,0.057881891566929716,0.015718318542651603,0.08897967775100556,,0.08316202590199206,0.0454744894558285,-0.005234301911561835,0.06927088354800241,-0.017245222970149462,0.06058019081769004,-0.010766959849695293,-0.016708139561294726,,-0.028590022398506904,-0.012206620665345428,-0.010537857140276463
ORDER_SPEND_M_ALL_TIME,,0.07589710525298358,0.08214334680883058,0.571675056452458,0.4258919958053207,0.7702457728374109,0.6322891108663302,0.46125915667935513,1.0,0.066493703129133,0.09628706048383755,0.04267218375656774,0.06141483645161066,0.11030563460213838,0.09380604219058618,0.07950560094960987,9.190217990517762e-05,0.029183566055056873,0.027505651992371448,0.04770975497912348,0.02443509520600729,0.08181126581652533,0.055820515234005094,0.015610833979077126,,0.07533324282419333,0.07286702873044813,-0.013030983742762936,0.04737761999403874,-0.009125001756962738,0.014592210093815923,-0.00899307915898283,-0.018789976173008562,,-0.04685482651451413,-0.03154549741235794,-0.011878405789851354
TICKET_QUANTITY_T,,0.022147727254733948,0.0272864280830896,0.012162555667333527,-0.005676089462577694,0.013268877914153508,0.009790657028366062,-0.003245554345236075,0.066493703129133,1.0,0.9969165573680814,0.9968163147183259,0.0356048634693219,0.040240725955472956,0.06245036916728464,0.638026853364646,0.6750944267570441,0.8270110625389683,-0.017610119949266142,0.007429239947444881,0.013300219420281546,0.003457701554506013,0.08388501465546543,-0.003404781194392737,,0.02315589614266025,-0.0014169132566671672,-0.0068520542675370305,0.023119106362944234,0.1002609313141791,-0.007083260116792564,0.029029805700083833,-0.014629455442483242,,-0.021312012619438922,-0.014074706169366825,-0.000788726206556773
